Lat Lon Depth Vs
50.750191 287.499451 230.000000 4.538419
50.750191 287.499451 250.000000 4.568432
50.750191 287.499451 280.000000 4.613385
50.750191 287.499451 320.000000 4.672117
50.750191 287.499451 370.000000 4.743044
50.750191 287.499451 420.000000 4.812693
50.750191 287.499451 420.000000 5.048637
50.750191 287.499451 470.000000 5.130210
50.750191 287.499451 520.000000 5.216566
50.750191 287.499451 570.000000 5.303038
50.750191 287.499451 620.000000 5.388578
50.750191 287.499451 670.000000 5.472982
50.750191 287.749451 70.000000 4.610465
50.750191 287.749451 90.000000 4.553751
50.750191 287.749451 110.000000 4.533224
50.750191 287.749451 130.000000 4.511767
50.750191 287.749451 150.000000 4.502636
50.750191 287.749451 170.000000 4.501332
50.750191 287.749451 190.000000 4.500718
50.750191 287.749451 210.000000 4.500580
50.750191 287.749451 230.000000 4.538419
50.750191 287.749451 250.000000 4.568432
50.750191 287.749451 280.000000 4.613385
50.750191 287.749451 320.000000 4.672117
50.750191 287.749451 370.000000 4.743044
50.750191 287.749451 420.000000 4.812693
50.750191 287.749451 420.000000 5.048637
50.750191 287.749451 470.000000 5.130210
50.750191 287.749451 520.000000 5.216566
50.750191 287.749451 570.000000 5.303038
50.750191 287.749451 620.000000 5.388578
50.750191 287.749451 670.000000 5.472982
50.750191 287.999451 70.000000 4.610465
50.750191 287.999451 90.000000 4.553751
50.750191 287.999451 110.000000 4.533224
50.750191 287.999451 130.000000 4.511767
50.750191 287.999451 150.000000 4.502636
50.750191 287.999451 170.000000 4.501332
50.750191 287.999451 190.000000 4.500718
50.750191 287.999451 210.000000 4.500580
50.750191 287.999451 230.000000 4.538419
50.750191 287.999451 250.000000 4.568432
50.750191 287.999451 280.000000 4.613385
50.750191 287.999451 320.000000 4.672117
50.750191 287.999451 370.000000 4.743044
50.750191 287.999451 420.000000 4.812693
50.750191 287.999451 420.000000 5.048637
50.750191 287.999451 470.000000 5.130210
50.750191 287.999451 520.000000 5.216566
50.750191 287.999451 570.000000 5.303038
50.750191 287.999451 620.000000 5.388578
50.750191 287.999451 670.000000 5.472982
50.750191 288.249451 70.000000 4.610465
50.750191 288.249451 90.000000 4.553751
50.750191 288.249451 110.000000 4.533224
50.750191 288.249451 130.000000 4.511767
50.750191 288.249451 150.000000 4.502636
50.750191 288.249451 170.000000 4.501332
50.750191 288.249451 190.000000 4.500718
50.750191 288.249451 210.000000 4.500580
50.750191 288.249451 230.000000 4.538419
50.750191 288.249451 250.000000 4.568432
50.750191 288.249451 280.000000 4.613385
50.750191 288.249451 320.000000 4.672117
50.750191 288.249451 370.000000 4.743044
50.750191 288.249451 420.000000 4.812693
50.750191 288.249451 420.000000 5.048637
50.750191 288.249451 470.000000 5.130210
50.750191 288.249451 520.000000 5.216566
50.750191 288.249451 570.000000 5.303038
50.750191 288.249451 620.000000 5.388578
50.750191 288.249451 670.000000 5.472982
50.750191 288.499451 70.000000 4.610465
50.750191 288.499451 90.000000 4.553751
50.750191 288.499451 110.000000 4.533224
50.750191 288.499451 130.000000 4.511767
50.750191 288.499451 150.000000 4.502636
50.750191 288.499451 170.000000 4.501332
50.750191 288.499451 190.000000 4.500718
50.750191 288.499451 210.000000 4.500580
