#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
GM	AD11	60.53634	-150.77796	72.3
GM	AD13	60.72883	-151.3027	47
GM	AD14	60.55944	-151.24954	22
II	KDAK	57.7828	-152.5835	152
IM	IL31	64.7714	-146.886597	419
IU	COLA	64.873599	-147.8616	200
IU	COLA	64.873599	-147.8616	200
NY	FARO	62.22954	-133.34812	0
NY	MAYO	63.59581	-135.89209	0
NY	MMPY	62.61891	-131.26246	0
PN	CHSA	61.608002	-149.212006	0.1
PN	GCSA	64.746101	-156.879196	0
PN	NHSA	59.8111	-151.612701	0
PN	PPGRL	62.9063	-160.062607	31
PN	PPPPS	56.813	-132.955002	25
PN	PPSA	56.813	-132.955002	0
PN	PPSBE	59.442001	-151.712006	30
PN	SBEA	59.442299	-151.712296	0
PN	SKGA	59.465	-135.309799	0
PP	GCSA	64.746101	-156.879196	46
PQ	KLONY	64.4525	-138.2164	982
PQ	OGILY	65.3609	-138.3063	602
PQ	RICHY	66.9808	-136.2216	739
PQ	TSIIG	67.441	-133.742	56
TA	A19K	70.2043	-161.0713	24
TA	A21K	71.3221	-156.6175	5
TA	A22K	71.0033	-154.9742	6
TA	B18K	69.3641	-161.8016	222
TA	B20K	70.0079	-157.1599	74.6
TA	B21K	69.6211	-154.6128	92
TA	B22K	70.34	-153.4196	49.7
TA	C16K	68.2746	-165.3436	102
TA	C17K	68.4753	-163.1776	498
TA	C18K	68.6483	-161.1943	845
TA	C19K	69.1049	-159.5874	745
TA	C21K	69.1565	-154.7833	409
TA	C23K	69.836	-150.6126	179
TA	C24K	69.72	-148.7009	115
TA	C26K	69.9175	-144.9122	139
TA	C27K	69.626	-143.7114	392
TA	D17K	67.6988	-163.0831	172
TA	D19K	68.4946	-158.1151	671
TA	D20K	68.7132	-156.6132	577
TA	D22K	68.8799	-152.6821	532
TA	D23K	68.9656	-150.6807	406
TA	D24K	69.1532	-148.8233	292
TA	D25K	69.322	-146.3751	770
TA	D27M	69.243	-140.9648	896
TA	D28M	69.3286	-138.7367	32
TA	E17K	67.082	-161.8262	233
TA	E18K	67.4213	-160.6027	297
TA	E19K	67.4572	-157.2316	441
TA	E20K	68.2575	-156.1885	866
TA	E21K	68.4414	-153.9721	653
TA	E22K	68.1343	-151.8132	772
TA	E23K	68.0584	-149.6163	1084
TA	E24K	68.0748	-148.4868	847
TA	E25K	68.1207	-145.568	652
TA	E27K	68.1861	-141.5951	654
TA	E28M	68.6043	-139.5349	474
TA	E29M	68.3889	-137.8969	324
TA	EPYK	66.3701	-136.7191	717
TA	F14K	65.4742	-166.3288	266
TA	F15K	65.7077	-164.6483	388
TA	F17K	66.442	-161.2502	51
TA	F18K	66.6001	-159.6514	27
TA	F19K	66.8332	-157.7728	161
TA	F20K	67.0486	-155.7251	136
TA	F21K	67.2221	-153.483	597
TA	F22K	67.5076	-152.179	546
TA	F24K	67.5187	-147.8871	736
TA	F25K	67.5933	-145.643	864
TA	F26K	67.6946	-144.1455	683
TA	F28M	67.6136	-139.8717	564
TA	F30M	67.6106	-135.7863	414
TA	F31M	67.441	-133.742	56
TA	G15K	64.9941	-164.0386	249
TA	G16K	65.3936	-162.3547	169
TA	G17K	65.5011	-160.6514	338
TA	G18K	65.895	-158.654	484
TA	G19K	66.1434	-157.087	391
TA	G21K	66.5156	-153.5058	446
TA	G22K	66.9214	-151.5073	205
TA	G23K	66.7108	-150.0239	746
TA	G24K	66.7004	-147.4754	503
TA	G25K	66.7653	-146.1013	146
TA	G26K	66.9498	-143.7848	180
TA	G27K	66.8088	-141.6549	686
TA	G29M	66.9116	-138.0223	572
TA	G30M	66.9808	-136.2216	739
TA	G31M	66.9227	-134.2708	61
TA	H16K	64.6379	-162.239	216
TA	H17K	64.937	-159.9126	396
TA	H18K	65.1527	-158.3633	494
TA	H19K	65.5276	-156.4494	107
TA	H20K	65.4924	-154.8808	514
TA	H21K	65.6571	-152.805	520
TA	H22K	65.8937	-151.3773	561
TA	H23K	65.8251	-149.5432	617
TA	H24K	65.8371	-147.8781	814
TA	H25K	66.267	-145.8197	144
TA	H25L	66.267	-145.8187	144
TA	H27K	66.2305	-141.5265	786
TA	H29M	66.2191	-138.3689	480
TA	H31M	65.8052	-134.3426	642
TA	HARP	62.3987	-145.1568	581
TA	HDA	64.409103	-146.948196	437
TA	I17K	63.8864	-160.695	105
TA	I20K	64.7962	-154.4783	75
TA	I21K	65.18	-151.9822	248
TA	I23K	65.1479	-149.3603	149
TA	I26K	65.3064	-143.1541	338
TA	I27K	65.6035	-141.6153	874
TA	I28M	65.4483	-139.9355	1188
TA	I29M	65.3609	-138.3063	602
TA	I30M	65.2225	-136.3767	1399
TA	J14K	62.7492	-163.554	25
TA	J16K	63.2842	-160.6021	328
TA	J17K	63.3965	-159.0777	323
TA	J18K	63.465	-156.7154	506
TA	J19K	63.994	-155.6214	389
TA	J20K	64.1767	-154.1467	314
TA	J25K	64.613	-145.3697	949
TA	J26K	64.565399	-143.798996	1187
TA	J26L	64.5012	-143.5636	1144
TA	J29M	64.453003	-138.215805	982
TA	J29N	64.4525	-138.2164	982
TA	J30M	64.5753	-136.3304	1419
TA	K13K	61.9331	-164.6555	204.2
TA	K15K	62.2938	-161.5308	346
TA	K17K	62.7161	-158.3014	339
TA	K20K	63.3569	-154.07	548
TA	K24K	63.8036	-145.7784	724
TA	K27K	64.0292	-142.0758	732
TA	K29M	63.8433	-137.5201	1367
TA	L14K	61.3416	-162.6829	41
TA	L15K	61.678	-161.4869	219
TA	L16K	61.7105	-159.4747	227
TA	L17K	62.1344	-158.2972	338
TA	L18K	62.2195	-156.6886	329
TA	L19K	62.1816	-154.8543	650
TA	L20K	62.4787	-153.8798	673
TA	L22K	62.5258	-150.7703	817
TA	L26K	63.0254	-143.3478	650
TA	L27K	63.0618	-141.8275	755
TA	L29M	63.109	-138.129	918
TA	M11K	60.3849	-166.2011	3
TA	M13K	60.4135	-163.35	9
TA	M14K	60.7515	-161.96	19
TA	M15K	60.6947	-160.6884	210
TA	M16K	61.0224	-158.9593	394
TA	M17K	61.4009	-157.4375	387
TA	M18K	61.4907	-155.8242	289
TA	M19K	61.9037	-154.3915	521
TA	M20K	61.8823	-153.1318	1107
TA	M22K	61.7531	-150.1205	57
TA	M23K	61.7929	-147.7262	583
TA	M24K	62.1067	-146.175	908
TA	M26K	62.4013	-142.9963	888
TA	M27K	62.3579	-141.878	1536
TA	M29M	62.4435	-138.4624	1297
TA	M30M	62.5763	-136.7935	782
TA	M31M	62.2024	-134.3906	639
TA	N14K	59.9237	-161.6852	21
TA	N15K	60.1686	-160.0921	449
TA	N16K	60.4742	-158.769	582
TA	N17K	60.5269	-157.1867	350
TA	N18K	60.6801	-155.8897	572
TA	N19K	60.8132	-154.4838	1144
TA	N20K	61.2001	-152.2089	991
TA	N25K	61.6061	-144.5982	1087
TA	N30M	61.4593	-137.0885	941
TA	N31M	61.4817	-135.7796	716
TA	N32M	61.1512	-133.0818	816
TA	O14K	59.2533	-161.2638	129
TA	O15K	59.1767	-159.8246	306
TA	O16K	59.5938	-158.0932	198
TA	O17K	59.7733	-157.0946	156
TA	O18K	59.8542	-155.208	544
TA	O19K	60.1952	-154.3201	96
TA	O20K	60.0815	-152.624	915
TA	O22K	60.4814	-149.7241	140
TA	O28M	60.7718	-140.1906	2622
TA	O29M	60.3024	-138.5755	1423
TA	O30N	60.7704	-136.0906	821
TA	P08K	56.6011	-169.5484	36
TA	P16K	59.0314	-157.9906	85.9
TA	P17K	59.1953	-156.4394	91
TA	P18K	59.3922	-155.2292	680
TA	P19K	59.6524	-153.2319	629
TA	P23K	59.9979	-147.4031	287
TA	P29M	59.6304	-137.7381	679
TA	P30M	60.1218	-136.9598	883
TA	P32M	59.5898	-133.7147	793
TA	P33M	60.2114	-132.8174	1066
TA	POKR	65.1171	-147.4335	501
TA	Q16K	58.6774	-156.6556	22
TA	Q17K	58.2637	-155.8865	1165
TA	Q18K	58.6484	-155.0086	1250
TA	Q19K	58.9287	-153.6446	631
TA	Q20K	58.6097	-152.3942	180
TA	Q23K	59.4296	-146.3399	46
TA	Q32M	58.9601	-132.2691	1951
TA	R16K	57.5673	-157.5742	38
TA	R17K	57.639702	-156.387207	273
TA	R17L	57.6313	-156.3599	524
TA	R18K	57.5665	-154.4524	39
TA	R31K	58.4133	-135.7398	15
TA	R32K	58.2747	-134.5181	386
TA	R33M	59.3946	-130.9673	1437
